Open_Time,Open_Price,Close_Time,Close_Price,Side,Symbol,Volume,Profit,,ACC_VAL
10/3/2023 6:12,0.5828,10/3/2023 8:57,0.5801,Sell,AUDCHFx,5,1440.86,,101440.86
10/3/2023 6:12,0.8686,10/3/2023 8:57,0.8651,Sell,AUDCADx,5,1272.49,,102713.35
10/3/2023 6:12,0.6342,10/3/2023 8:57,0.6308,Sell,AUDUSDx,5,1675,,104388.35
10/3/2023 6:12,1.9043,10/3/2023 8:57,1.9122,Buy,GBPAUDx,5,2485.19,,106873.54
10/3/2023 6:12,1.6508,10/3/2023 8:57,1.6589,Buy,EURAUDx,5,2541.96,,109415.5
10/6/2023 15:47,1811.53,10/6/2023 18:04,1825.9,Buy,XAUUSDx,3,4311,,113726.5
10/6/2023 15:47,20.917,10/6/2023 18:04,21.365,Buy,XAGUSDx,3,6720,,120446.5
10/6/2023 15:47,32923.82,10/6/2023 15:53,32845.79,Buy,US30x,3,-2340.9,,118105.6
10/6/2023 15:47,14566.97,10/6/2023 18:04,14780.21,Buy,NAS100x,3,6397.2,,124502.8
10/6/2023 15:47,15084.42,10/6/2023 18:04,15171.06,Buy,GER40x,3,2741.22,,127244.02
10/6/2023 17:19,32886.85,10/6/2023 18:05,33110.8,Buy,US30x,3,6718.5,,133962.52
10/9/2023 12:08,14891.49,10/9/2023 12:13,14882.93,Sell,NAS100x,3,256.8,,134219.32
10/9/2023 12:08,33293.07,10/9/2023 12:13,33267.92,Sell,US30x,3,754.5,,134973.82
10/9/2023 12:08,1850.27,10/9/2023 12:10,1850.3,Sell,XAUUSDx,3,-9,,134964.82
10/9/2023 12:08,15192.4,10/9/2023 12:13,15181.14,Sell,GER40x,3,356.11,,135320.93
10/9/2023 12:17,181.678,10/9/2023 15:09,181.537,Buy,GBPJPYx,5,-472.66,,134848.27
10/9/2023 12:17,157.246,10/9/2023 15:09,157.062,Buy,EURJPYx,5,-616.8,,134231.47
10/9/2023 12:17,109.197,10/9/2023 14:50,109.166,Buy,CADJPYx,5,-103.93,,134127.54
10/9/2023 12:17,163.804,10/9/2023 14:14,164.018,Buy,CHFJPYx,5,717.38,,134844.92
10/9/2023 12:18,149.122,10/9/2023 14:10,149.138,Buy,USDJPYx,5,53.64,,134898.56
10/9/2023 14:10,1850.01,10/9/2023 14:40,1850.2,Buy,XAUUSDx,3,57,,134955.56
10/9/2023 14:17,14858.27,10/9/2023 14:40,14864.02,Buy,NAS100x,3,172.5,,135128.06
10/9/2023 14:45,14853.07,10/9/2023 15:09,14872.96,Buy,NAS100x,3,596.7,,135724.76
10/9/2023 14:45,33227.92,10/9/2023 15:09,33269.07,Buy,US30x,3,1234.5,,136959.26
10/9/2023 14:50,15104.7,10/9/2023 15:09,15110.07,Buy,GER40x,3,169.64,,137128.9
10/9/2023 15:10,1848.95,10/9/2023 15:11,1849.23,Buy,XAUUSDx,3,84,,137212.9
10/9/2023 15:17,14875.22,10/9/2023 15:36,14862.3,Sell,NAS100x,3,387.6,,137600.5
10/9/2023 15:17,33276.87,10/9/2023 15:36,33245.92,Sell,US30x,3,928.5,,138529
10/9/2023 15:37,14856.11,10/9/2023 16:34,14853.21,Buy,NAS100x,3,-87,,138442
10/9/2023 15:37,33228.76,10/9/2023 16:34,33394.12,Buy,US30x,3,4960.8,,143402.8
10/9/2023 15:37,1847.22,10/9/2023 16:34,1845.58,Buy,XAUUSDx,3,-492,,142910.8
10/9/2023 15:37,15106.4,10/9/2023 16:34,15131.57,Buy,GER40x,3,796.46,,143707.26
10/9/2023 15:41,21.613,10/9/2023 16:34,21.682,Buy,XAGUSDx,3,1035,,144742.26
10/9/2023 16:49,33368.77,10/9/2023 16:52,33349.22,Buy,US30x,2,-391,,144351.26
10/9/2023 16:50,33356.85,10/9/2023 16:52,33349.22,Buy,US30x,1,-76.3,,144274.96
10/9/2023 17:43,14877.52,10/9/2023 17:44,14890.19,Buy,NAS100x,3,380.1,,144655.06
10/9/2023 17:43,33316.94,10/9/2023 17:44,33343.25,Buy,US30x,3,789.3,,145444.36
10/9/2023 17:48,15119.2,10/9/2023 17:55,15113.88,Buy,GER40x,3,-168.29,,145276.07
10/9/2023 17:49,14869.71,10/9/2023 17:55,14867.31,Buy,NAS100x,3,-72,,145204.07
10/9/2023 17:49,33287.12,10/9/2023 17:55,33291.87,Buy,US30x,3,142.5,,145346.57
10/9/2023 18:34,33404.66,10/9/2023 18:36,33402.12,Sell,US30x,3,76.2,,145422.77
10/9/2023 19:15,33433.89,10/9/2023 19:27,33437.35,Sell,US30x,0.3,-10.38,,145412.39
10/9/2023 19:15,33436.62,10/9/2023 19:27,33437.35,Sell,US30x,0.3,-2.19,,145410.2
10/9/2023 19:15,33440.62,10/9/2023 19:27,33437.35,Sell,US30x,0.3,9.81,,145420.01
10/9/2023 19:17,14933.54,10/9/2023 19:21,14958.41,Sell,NAS100x,0.3,-74.61,,145345.4
10/9/2023 19:18,33448.78,10/9/2023 19:26,33442.22,Sell,US30x,2,131.2,,145476.6
10/9/2023 19:21,14960.35,10/9/2023 19:23,14955.87,Sell,NAS100x,3,134.4,,145611
10/9/2023 19:27,33434.07,10/9/2023 19:31,33435.64,Buy,US30x,0.18,2.83,,145613.83
10/9/2023 19:29,33424.32,10/9/2023 19:30,33432.22,Buy,US30x,0.18,14.22,,145628.05
10/10/2023 8:29,33631.06,10/10/2023 8:30,33632.07,Buy,US30x,0.01,0.1,,145628.15
10/11/2023 17:51,15211.9,10/11/2023 18:18,15210.11,Sell,NAS100x,3,53.7,,145681.85
10/11/2023 17:55,15468.12,10/11/2023 18:18,15461.47,Sell,GER40x,3,211.8,,145893.65
10/19/2023 18:58,15046.67,10/19/2023 19:06,15062.27,Sell,GER40x,3,-496.03,,145397.62
10/19/2023 18:58,14929.15,10/19/2023 19:06,14960.39,Sell,NAS100x,3,-937.2,,144460.42
10/19/2023 18:58,33633.84,10/19/2023 19:06,33717.87,Sell,US30x,3,-2520.9,,141939.52
10/19/2023 18:58,6921.71,10/19/2023 19:06,6925.38,Sell,FRA40x,3,-116.7,,141822.82
10/19/2023 18:58,7499.35,10/19/2023 19:06,7508.64,Sell,UK100x,3,-339.32,,141483.5
10/23/2023 11:33,33052.82,10/23/2023 11:34,33055.67,Buy,US30x,0.5,14.25,,141497.75
10/23/2023 11:35,1.6701,10/23/2023 11:35,1.6696,Buy,GBPCADx,0.5,-20.05,,141477.7
10/23/2023 11:35,158.896,10/23/2023 11:35,158.916,Buy,EURJPYx,0.5,6.67,,141484.37
10/24/2023 16:42,33152.41,10/24/2023 17:09,33195.17,Buy,US30x,3,1282.8,,142767.17
10/24/2023 16:42,14736.13,10/24/2023 17:09,14738.66,Buy,NAS100x,3,75.9,,142843.07
10/24/2023 16:42,14842.77,10/24/2023 17:09,14864.92,Buy,GER40x,3,705.07,,143548.14
10/24/2023 16:42,7367.73,10/24/2023 17:09,7387.09,Buy,UK100x,3,707.45,,144255.59
10/24/2023 16:42,6879.43,10/24/2023 17:09,6888.12,Buy,FRA40x,3,276.62,,144532.21
10/24/2023 17:09,33195.68,10/24/2023 17:20,33185.52,Sell,US30x,3,304.8,,144837.01
10/24/2023 17:09,14738.66,10/24/2023 17:20,14692.16,Sell,NAS100x,3,1395,,146232.01
10/24/2023 17:09,14865.4,10/24/2023 17:20,14852.77,Sell,GER40x,3,401.9,,146633.91
10/24/2023 17:09,7387.6,10/24/2023 17:20,7388.09,Sell,UK100x,3,-17.91,,146616
10/24/2023 17:09,6888.12,10/24/2023 17:20,6887.42,Sell,FRA40x,3,22.27,,146638.27
10/24/2023 17:48,14780.81,10/24/2023 17:49,14776.91,Sell,NAS100x,0.1,3.9,,146642.17
10/24/2023 17:48,14904.62,10/24/2023 17:50,14916.07,Sell,GER40x,0.1,-12.13,,146630.04
10/24/2023 17:48,33242.53,10/24/2023 17:50,33262.14,Sell,US30x,0.1,-19.61,,146610.43
