Open_Time,Open_Price,Close_Time,Close_Price,Side,Symbol,Volume,Profit
10/2/23 7:21,33689.92,10/2/23 7:33 AM,33679.07,Buy,US30x,1.00,-108.50
10/2/23 7:21,33689.92,10/2/23 7:33 AM,33679.07,Buy,US30x,1.00,-108.50
10/2/23 7:34,33664.23,10/2/23 7:35 AM,33662.92,Sell,US30x,1.00,13.10
10/2/23 7:34,33664.23,10/2/23 7:35 AM,33662.92,Sell,US30x,1.00,13.10
10/2/23 7:35,33658.93,10/2/23 9:05 AM,33620.92,Sell,US30x,1.00,380.10
10/2/23 7:35,33658.93,10/2/23 9:05 AM,33620.92,Sell,US30x,1.00,380.10
10/2/23 7:47,33670.07,10/2/23 9:35 AM,33664.92,Sell,US30x,0.35,18.03
10/2/23 7:47,33670.07,10/2/23 9:35 AM,33664.92,Sell,US30x,0.35,18.03
10/2/23 10:15,33707.17,10/2/23 10:23 AM,33715.92,Sell,US30x,0.35,-30.63
10/2/23 10:15,33707.17,10/2/23 10:23 AM,33715.92,Sell,US30x,0.35,-30.63
10/2/23 10:20,33709.07,10/2/23 10:21 AM,33708.92,Sell,US30x,0.35,0.53
10/2/23 10:20,33709.07,10/2/23 10:21 AM,33708.92,Sell,US30x,0.35,0.53
10/2/23 10:22,33709.57,10/2/23 10:23 AM,33716.42,Sell,US30x,0.35,-23.98
10/2/23 10:22,33709.57,10/2/23 10:23 AM,33716.42,Sell,US30x,0.35,-23.98
10/2/23 10:28,33722.07,10/2/23 11:04 AM,33709.42,Sell,US30x,0.35,44.28
10/2/23 10:28,33722.07,10/2/23 11:04 AM,33709.42,Sell,US30x,0.35,44.28
10/2/23 10:42,33700.07,10/2/23 11:04 AM,33707.42,Sell,US30x,0.35,-25.73
10/2/23 10:42,33700.07,10/2/23 11:04 AM,33707.42,Sell,US30x,0.35,-25.73
10/2/23 11:42,33686.07,10/2/23 11:42 AM,33693.32,Sell,US30x,0.35,-25.38
10/2/23 11:42,33686.07,10/2/23 11:42 AM,33693.32,Sell,US30x,0.35,-25.38
10/2/23 11:43,33692.57,10/2/23 11:48 AM,33681.42,Sell,US30x,0.35,39.03
10/2/23 23:09,33435.81,10/3/23 3:54 AM,33429.92,Sell,US30x,0.20,11.78
10/3/23 4:42,33430.93,10/3/23 7:30 AM,33382.76,Sell,US30x,0.19,91.52
10/3/23 8:40,33363.93,10/3/23 8:43 AM,33367.92,Sell,US30x,0.20,-7.98
10/3/23 22:05,32973.09,10/3/23 11:02 PM,33010.01,Buy,US30x,0.20,73.84
10/4/23 1:01,32995.92,10/4/23 1:08 AM,32980.07,Buy,US30x,0.15,-23.78
10/4/23 1:08,32979.07,10/4/23 1:17 AM,32988.98,Sell,US30x,0.15,-14.87
10/4/23 1:19,32987.92,10/4/23 1:36 AM,32999.81,Buy,US30x,0.15,17.84
